name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
富源酸菜土猪脚火锅,102.79499,25.04926,,,,,,,,,,,3,5986
吴氏路边香,102.79433,25.04854,,,,,,,,,,,3,5564
会泽老家菜,102.79396,25.04815,,,,,,,,,,,3,5989
地道家乡菜馆,102.79484000000001,25.04908,,,,,,,,,,,3,6683
弥勒老传统卤鸡米线,102.79482,25.04905,,,,,,,,,,,3,8958
重庆黑豆花鱼,102.79479,25.04901,,,,,,,,,,,3,8959
董记草山羊,102.79403,25.04824,,,,,,,,,,,3,11115
红乌蒙天麻火腿鸡青龙村店,102.7939,25.048099999999998,,,,,,,,,,,3,11172
老味道农家菜,102.79406,25.048289999999998,,,,,,,,,,,3,11713
宣威农家小菜馆,102.79475,25.04897,,,,,,,,,,,3,11753
寻甸壮羊馆,102.79489000000001,25.049139999999998,,,,,,,,,,,3,13592
鲜驴庄火锅总店,102.79422,25.04843,,,,,,,,,,,3,14547
金麒麟酒庄,102.79426,25.048479999999998,,,,,,,,,,,3,15503
豪胜娱乐中心,102.79494,25.04919,,,,,,,,,,,3,20317
落角庄饭店,102.79469,25.05017,,,,,,,,,,,3,5563
欢乐园,102.79512,25.04947,,,,,,,,,,,3,6709
怡香园农家饭店,102.79529000000001,25.04954,,,,,,,,,,,3,10575
友谊饭店,102.79504,25.04937,,,,,,,,,,,3,13961
金柯伊园,102.79422,25.05057,,,,,,,,,,,3,14546
野生菌子鱼,102.79505,25.04993,,,,,,,,,,,3,15502
鑫聚源足疗按摩美容会所,102.79463,25.050910000000002,,,,,,,,,,,3,17775
嘻唰唰专业美发烫染形象设计中心,102.79451999999999,25.05094,,,,,,,,,,,3,18710
满红堂网吧,102.79453000000001,25.04939,,,,,,,,,,,3,20960
盘龙淑芹诊所,102.793999,25.050616,,,,,,,,,,,3,24430
落角庄饭店,102.79469,25.049970000000002,,,,,,,,,,,3,25423
兴宏园牛菜馆,102.79464,25.05094,,,,,,,,,,,3,27946
金柯伊园,102.79422,25.05037,,,,,,,,,,,3,34406
野生菌子鱼,102.79505,25.04973,,,,,,,,,,,3,35362
鑫聚源足疗按摩美容会所,102.79463,25.050710000000002,,,,,,,,,,,3,37635
嘻唰唰专业美发烫染形象设计中心,102.79451999999999,25.05074,,,,,,,,,,,3,38570
盘龙淑芹诊所,102.793999,25.050416000000002,,,,,,,,,,,3,44290
惠雅宾馆,102.79453000000001,25.05009,,,,,,,,,,,3,47014
家顺宾馆,102.79462,25.05003,,,,,,,,,,,3,47015
鸿烨霖宾馆,102.79465,25.0493,,,,,,,,,,,3,47479
吴氏路边香,102.79433,25.04834,,,,,,,,,,,3,25424
富源酸菜土猪脚火锅,102.79499,25.04906,,,,,,,,,,,3,25846
会泽老家菜,102.79396,25.04795,,,,,,,,,,,3,25849
地道家乡菜馆,102.79484000000001,25.04888,,,,,,,,,,,3,26543
弥勒老传统卤鸡米线,102.79482,25.04885,,,,,,,,,,,3,28818
重庆黑豆花鱼,102.79479,25.04881,,,,,,,,,,,3,28819
董记草山羊,102.79403,25.04804,,,,,,,,,,,3,30975
红乌蒙天麻火腿鸡青龙村店,102.7939,25.0479,,,,,,,,,,,3,31032
老味道农家菜,102.79406,25.04809,,,,,,,,,,,3,31573
宣威农家小菜馆,102.79475,25.04877,,,,,,,,,,,3,31613
寻甸壮羊馆,102.79489000000001,25.048939999999998,,,,,,,,,,,3,33452
鲜驴庄火锅总店,102.79422,25.04823,,,,,,,,,,,3,34407
金麒麟酒庄,102.79426,25.04828,,,,,,,,,,,3,35363
豪胜娱乐中心,102.79494,25.04899,,,,,,,,,,,3,40177
满红堂网吧,102.79453000000001,25.04919,,,,,,,,,,,3,40820
龙腾宾馆,102.79436,25.048389999999998,,,,,,,,,,,3,46749
群龙宾馆,102.79445,25.04849,,,,,,,,,,,3,46883
金昇酒店,102.79438,25.04841,,,,,,,,,,,3,47264
金桥宾馆,102.79423,25.04926,,,,,,,,,,,3,47482
鑫飞宾馆,102.7946,25.04865,,,,,,,,,,,3,47510
欢乐园,102.79512,25.04927,,,,,,,,,,,3,26569
怡香园农家饭店,102.79529000000001,25.04934,,,,,,,,,,,3,30435
友谊饭店,102.79504,25.04917,,,,,,,,,,,3,33821
