name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
贵州水城发运羊肉米线,102.66431,25.09469,,,,,,,,,,,3,7127
苍洱风味园,102.6646,25.09461,,,,,,,,,,,3,9449
朱记快餐灌汤包,102.66439,25.09467,,,,,,,,,,,3,10027
云南艺术学院文华学院(玉案公路),102.665814,25.094404,,,,,,,,,,,1,893
老四川饭店,102.66528000000001,25.094,,,,,,,,,,,3,7198
鑫鑫饭店,102.6652,25.09413,,,,,,,,,,,3,7673
昆明新城吾悦广场,102.66595500000001,25.095329,,,,,,,,,,,2,242
王记文山汆肉土鸡米线,102.6661,25.094829999999998,,,,,,,,,,,3,11715
黔香铜锅洋芋饭,102.66633,25.094829999999998,,,,,,,,,,,3,11741
桥顾园,102.66656,25.09486,,,,,,,,,,,3,14241
镇雄酸汤猪脚羊肉火锅,102.66642,25.094839999999998,,,,,,,,,,,3,14308
王记文山汆肉土鸡米线,102.6661,25.09463,,,,,,,,,,,3,41504
黔香铜锅洋芋饭,102.66633,25.09463,,,,,,,,,,,3,41530
桥顾园,102.66656,25.09466,,,,,,,,,,,3,44030
镇雄酸汤猪脚羊肉火锅,102.66642,25.09464,,,,,,,,,,,3,44097
昆明新城吾悦广场,102.66595500000001,25.095529,,,,,,,,,,,2,64463
云南艺术学院文华学院(玉案公路),102.665814,25.094604,,,,,,,,,,,1,65114
川云小吃店,102.66513,25.09434,,,,,,,,,,,3,12022
曾氏武定土鸡米线店,102.66496,25.094479999999997,,,,,,,,,,,3,13581
乐之味,102.66675,25.09452,,,,,,,,,,,3,13582
四川自贡小吃,102.66524,25.09405,,,,,,,,,,,3,13657
禄劝风味小吃,102.66521999999999,25.094079999999998,,,,,,,,,,,3,15595
玉雅帝舟娱乐会所,102.66532,25.09391,,,,,,,,,,,3,20385
明都温泉酒店,102.66532,25.09391,,,,,,,,,,,3,26337
昆明市西北部汽车客运站,102.665077,25.094417,,,,,,,,,,,3,32971
老四川饭店,102.66528000000001,25.0938,,,,,,,,,,,3,36987
鑫鑫饭店,102.6652,25.09393,,,,,,,,,,,3,37462
川云小吃店,102.66513,25.09414,,,,,,,,,,,3,41811
曾氏武定土鸡米线店,102.66496,25.094279999999998,,,,,,,,,,,3,43370
乐之味,102.66675,25.09432,,,,,,,,,,,3,43371
四川自贡小吃,102.66524,25.09385,,,,,,,,,,,3,43446
禄劝风味小吃,102.66521999999999,25.09388,,,,,,,,,,,3,45384
玉雅帝舟娱乐会所,102.66532,25.09371,,,,,,,,,,,3,50174
明都温泉酒店,102.66532,25.09371,,,,,,,,,,,3,56126
昆明市西北部汽车客运站,102.665077,25.094217,,,,,,,,,,,3,62760
贵州水城发运羊肉米线,102.66431,25.09449,,,,,,,,,,,3,36916
苍洱风味园,102.6646,25.09441,,,,,,,,,,,3,39238
朱记快餐灌汤包,102.66439,25.09447,,,,,,,,,,,3,39816
